,,,,,Xist,,,,Tsix,,,,Ddx3x,,,,Ddx3y,,,,Eif1ax,,,,Ezh2,,,,Ftx,,,,Jpx,,,,,,,,,Kdm6a,,,,Pcgf3,,,,Pcgf5,,,,Rlim,,,,Rps4x,,,,Spen,,,,Suz12,,,,Usp9x,,,,Usp9y,,,
Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction
adipose tissue,mononuclear cell,69256,3.42%,aggregated,2.734033683,0.349551538,7027,10.15%,1.898589448,0.132855073,1573,2.27%,1.995280301,0.157934623,11525,16.64%,1.984666235,0.155181561,10985,15.86%,1.788420058,0.104279476,1533,2.21%,2.010300815,0.161830625,5954,8.60%,1.940752332,0.143791228,6565,9.48%,1.895535209,0.132062868,2014,2.91%,Kdm5c,1.953578748,0.147118127,9035,13.05%,2.000643235,0.159325655,14678,21.19%,1.902390304,0.133840934,5475,7.91%,2.015592588,0.163203199,7683,11.09%,1.917953802,0.137877774,8101,11.70%,3.145604013,0.456304128,4426,6.39%,1.962171909,0.149347011,11525,16.64%,1.95543084,0.147598521,9624,13.90%,2.037026506,0.168762701,21542,31.10%,1.770874802,0.09972861,49,0.07%
adipose tissue,    male,59793,0.00%,male,1.927482605,0.140349343,4,0.01%,2.113851786,0.188689545,8,0.01%,2.006443961,0.160830239,9826,16.43%,1.984678353,0.155184704,10984,18.37%,1.794757482,0.105923269,1396,2.33%,2.011113385,0.162041389,5288,8.84%,1.943033159,0.144382826,5619,9.40%,1.900115492,0.133250896,1670,2.79%,Kdm5c,1.943917449,0.144612192,7339,12.27%,1.986603144,0.155683954,11583,19.37%,1.905137608,0.134553526,4853,8.12%,2.008756364,0.161430028,6451,10.79%,1.921918705,0.138906186,7396,12.37%,3.092265752,0.442469318,2617,4.38%,1.96109176,0.149066843,10129,16.94%,1.956387353,0.14784662,8475,14.17%,2.041486891,0.16991963,18969,31.72%,1.734779713,0.090366311,43,0.07%
adipose tissue,    female,9463,3.41%,female,2.734493194,0.349670726,7023,74.22%,1.897489018,0.132569644,1565,16.54%,1.930715793,0.141187963,1699,17.95%,1.850783825,0.120455311,1,0.01%,1.723842649,0.08752947,137,1.45%,2.003849064,0.160157178,666,7.04%,1.927205189,0.140277387,946,10.00%,1.87329971,0.126295452,344,3.64%,Kdm5c,1.995385512,0.157961913,1696,17.92%,2.053188106,0.172954676,3095,32.71%,1.880955343,0.128281161,622,6.57%,2.051388431,0.172487879,1232,13.02%,1.876358184,0.127088756,705,7.45%,3.222766376,0.476318404,1809,19.12%,1.970009878,0.151380013,1396,14.75%,1.948375413,0.145768493,1149,12.14%,2.004143274,0.16023349,2573,27.19%,2.029556592,0.166825164,6,0.06%
adipose tissue,connective tissue cell,94553,16.45%,aggregated,3.191493856,0.468206977,33843,35.79%,1.878942977,0.127759196,11274,11.92%,1.807857785,0.109321209,11990,12.68%,1.820024105,0.112476894,8242,8.72%,1.72267641,0.087226972,1102,1.17%,1.838568272,0.117286856,6191,6.55%,1.886788309,0.129794108,8199,8.67%,1.788748235,0.104364598,1793,1.90%,Kdm5c,1.862601498,0.123520564,15964,16.88%,1.896220068,0.132240506,23861,25.24%,1.830438918,0.115178275,6940,7.34%,1.886277004,0.129661487,14228,15.05%,1.797375915,0.106602435,5063,5.35%,2.707795287,0.342745856,6309,6.67%,1.83707024,0.116898299,9692,10.25%,1.839311855,0.117479726,10300,10.89%,1.89969724,0.13314241,30320,32.07%,1.85267668,0.120946277,53,0.06%
adipose tissue,    male,57838,0.01%,male,1.65335083,0.069245391,13,0.02%,1.924083392,0.13946766,6,0.01%,1.806259148,0.108906557,6597,11.41%,1.820174126,0.112515806,8236,14.24%,1.72082691,0.086747251,783,1.35%,1.83133448,0.115410564,3602,6.23%,1.881924254,0.128532476,4611,7.97%,1.768574286,0.099131905,872,1.51%,Kdm5c,1.832456625,0.115701625,7537,13.03%,1.85852062,0.122462071,10886,18.82%,1.822475672,0.113112778,4182,7.23%,1.89308495,0.131427323,8031,13.89%,1.790917879,0.104927358,3257,5.63%,2.682217642,0.336111559,4182,7.23%,1.833514125,0.115975918,6147,10.63%,1.818904293,0.112186438,5828,10.08%,1.897084647,0.132464759,18312,31.66%,1.859339995,0.122674599,34,0.06%
adipose tissue,    female,36715,16.45%,female,3.192084965,0.468360298,33830,92.14%,1.878918903,0.127752952,11268,30.69%,1.80981314,0.109828387,5393,14.69%,1.614176114,0.059084303,6,0.02%,1.727215901,0.08840442,319,0.87%,1.848632435,0.119897286,2589,7.05%,1.893039053,0.131415418,3588,9.77%,1.807849002,0.109318931,921,2.51%,Kdm5c,1.889562567,0.130513692,8427,22.95%,1.927849831,0.140444594,12975,35.34%,1.84251354,0.118310175,2758,7.51%,1.877454092,0.127373011,6197,16.88%,1.809022686,0.10962336,1806,4.92%,2.758085221,0.355789996,2127,5.79%,1.843236513,0.118497699,3545,9.66%,1.8659074,0.124378044,4472,12.18%,1.903681237,0.134175775,12008,32.71%,1.840753053,0.117853542,19,0.05%
adipose tissue,progenitor cell,6853,0.59%,aggregated,2.732979567,0.349278123,1217,17.76%,1.88257605,0.128701538,250,3.65%,2.042205445,0.170106008,1170,17.07%,2.078061852,0.179406397,1040,15.18%,1.824513929,0.113641459,116,1.69%,2.040516431,0.169667914,660,9.63%,2.003776647,0.160138395,632,9.22%,1.975729888,0.152863662,212,3.09%,Kdm5c,2.027923315,0.166401527,1134,16.55%,2.051621859,0.172548425,1864,27.20%,1.962510851,0.149434925,549,8.01%,2.072165715,0.177877065,975,14.23%,1.980397072,0.15407423,843,12.30%,2.45197535,0.276391606,99,1.44%,2.05702028,0.173948661,1362,19.87%,1.991446022,0.156940093,957,13.96%,2.083679029,0.180863373,2154,31.43%,1.696589088,0.080460476,5,0.07%
adipose tissue,    male,5396,,male,,,,0.00%,,,,0.00%,2.101300676,0.185434054,925,17.14%,2.078061852,0.179406397,1040,19.27%,1.849437919,0.120106211,93,1.72%,2.065088268,0.176041325,517,9.58%,2.031035931,0.167208873,479,8.88%,2.009513506,0.161626414,153,2.84%,Kdm5c,2.042164054,0.170095272,782,14.49%,2.044001808,0.170571946,1210,22.42%,1.993643851,0.157510163,424,7.86%,2.095588759,0.183952504,713,13.21%,1.997450329,0.158497483,672,12.45%,2.356298174,0.251574981,84,1.56%,2.076837251,0.179088762,1056,19.57%,2.016215276,0.163364711,754,13.97%,2.107442801,0.18702719,1680,31.13%,1.773693323,0.100459674,4,0.07%
adipose tissue,    female,1457,0.59%,female,2.732979567,0.349278123,1217,83.53%,1.88257605,0.128701538,250,17.16%,1.819090427,0.112234717,245,16.82%,,,,0.00%,1.723734482,0.087501414,23,1.58%,1.95167979,0.146625578,143,9.81%,1.918435689,0.138002765,153,10.50%,1.888121395,0.130139882,59,4.05%,Kdm5c,1.996286566,0.158195627,352,24.16%,2.065720304,0.176205262,654,44.89%,1.856908203,0.122043844,125,8.58%,2.008423085,0.161343582,262,17.98%,1.913380941,0.136691671,171,11.74%,2.987767537,0.415364703,15,1.03%,1.988631903,0.15621017,306,21.00%,1.899445933,0.133077227,203,13.93%,1.999453259,0.159017,474,32.53%,1.388172269,0.000463713,1,0.07%
adipose tissue,precursor cell,13476,0.90%,aggregated,2.6214372,0.320346405,1861,13.81%,1.868797075,0.125127565,268,1.99%,1.920152307,0.13844802,3259,24.18%,2.038905419,0.169250051,1175,8.72%,1.731999536,0.089645193,199,1.48%,2.023169334,0.165168445,691,5.13%,2.003161679,0.159978885,633,4.70%,1.975729888,0.152863662,212,1.57%,Kdm5c,2.021892551,0.164837275,1149,8.53%,2.047763729,0.171547708,1879,13.94%,1.942554895,0.144258775,598,4.44%,2.052773698,0.172847188,1012,7.51%,1.972686235,0.152074203,859,6.37%,2.72973817,0.348437374,6229,46.22%,2.042465497,0.17017346,1435,10.65%,1.974200853,0.152467063,1004,7.45%,2.069579858,0.177206348,2218,16.46%,1.696589088,0.080460476,5,0.04%
